         3576813 function calls (3520281 primitive calls) in 30.587 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    37744    0.003    0.000    0.003    0.000 {abs}
       43    0.003    0.000    0.062    0.001 ticker.py:1900(_raw_ticks)
     1744    0.003    0.000    0.004    0.000 lines.py:1344(set_dash_joinstyle)
     1744    0.003    0.000    0.004    0.000 lines.py:987(set_drawstyle)
     1094    0.003    0.000    0.003    0.000 {method 'round' of 'numpy.generic' objects}
     6668    0.003    0.000    0.005    0.000 transforms.py:1737(_get_is_affine)
      294    0.003    0.000    0.022    0.000 core.py:7104(where)
        4    0.003    0.001    0.003    0.001 {gc.collect}
     6039    0.003    0.000    0.024    0.000 _methods.py:37(_any)
      460    0.003    0.000    0.380    0.001 axis.py:267(draw)
        6    0.003    0.000    0.092    0.015 __init__.py:3(<module>)
    10037    0.003    0.000    0.009    0.000 sre_parse.py:213(get)
     2269    0.003    0.000    0.004    0.000 markers.py:226(set_fillstyle)
      570    0.003    0.000    0.003    0.000 text.py:63(get_rotation)
        1    0.003    0.003    0.020    0.020 _subplots.py:1(<module>)
    18933    0.003    0.000    0.003    0.000 threading.py:64(_note)
     1517    0.003    0.000    0.004    0.000 transforms.py:2133(transform)
    19142    0.003    0.000    0.003    0.000 {numpy.core.umath.geterrobj}
     1744    0.003    0.000    0.008    0.000 lines.py:721(set_transform)
      337    0.003    0.000    0.072    0.000 axis.py:587(_get_gridline)
    22716    0.003    0.000    0.003    0.000 font_manager.py:739(get_style)
    18125    0.003    0.000    0.003    0.000 font_manager.py:1224(score_size)
     3731    0.003    0.000    0.005    0.000 lines.py:63(_scale_dashes)
      354    0.003    0.000    0.017    0.000 ticker.py:1870(set_params)
      501    0.003    0.000    0.006    0.000 core.py:1551(make_mask)
       26    0.003    0.000    0.015    0.001 __init__.py:937(_rc_params_in_file)
      660    0.003    0.000    0.012    0.000 text.py:865(get_prop_tup)
4531/4524    0.003    0.000    0.006    0.000 transforms.py:1773(__eq__)
     1744    0.003    0.000    0.004    0.000 lines.py:1397(set_solid_capstyle)
7836/7832    0.003    0.000    0.006    0.000 {method 'join' of 'str' objects}
     8081    0.002    0.000    0.009    0.000 pyparsing.py:1462(get)
     1172    0.002    0.000    0.033    0.000 transforms.py:796(from_bounds)
      296    0.002    0.000    0.005    0.000 transforms.py:689(translated)
    22716    0.002    0.000    0.002    0.000 font_manager.py:763(get_stretch)
3097/1485    0.002    0.000    0.040    0.000 _base.py:761(get_yaxis_transform)
        1    0.002    0.002    0.060    0.060 _continuous_distns.py:5(<module>)
       95    0.002    0.000    0.013    0.000 core.py:6608(power)
     1746    0.002    0.000    0.004    0.000 lines.py:1006(set_linewidth)
     1925    0.002    0.000    0.004    0.000 core.py:1307(_replace_dtype_fields)
     1744    0.002    0.000    0.004    0.000 lines.py:1357(set_solid_joinstyle)
    12934    0.002    0.000    0.002    0.000 {method 'iteritems' of 'dict' objects}
     1744    0.002    0.000    0.007    0.000 lines.py:638(set_data)
     1837    0.002    0.000    0.003    0.000 lines.py:35(_get_dash_pattern)
    10075    0.002    0.000    0.002    0.000 {iter}
      412    0.002    0.000    0.718    0.002 backend_agg.py:214(get_text_width_height_descent)
  636/499    0.002    0.000    0.006    0.000 units.py:124(get_converter)
      998    0.002    0.000    0.027    0.000 transforms.py:2012(rotate_deg)
    22716    0.002    0.000    0.002    0.000 font_manager.py:747(get_variant)
      567    0.002    0.000    0.146    0.000 transforms.py:2787(_revalidate)
