         5576685 function calls (5385459 primitive calls) in 33.586 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5757    0.004    0.000    0.004    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
    23269    0.004    0.000    0.007    0.000 {method 'pop' of 'dict' objects}
     7218    0.004    0.000    0.012    0.000 core.py:152(get_or_insert_function)
     4664    0.004    0.000    0.023    0.000 numeric.py:2857(__enter__)
    10537    0.004    0.000    0.004    0.000 transforms.py:1939(get_matrix)
     3872    0.004    0.000    0.011    0.000 artist.py:618(set_figure)
     1109    0.004    0.000    0.019    0.000 core.py:3178(__getitem__)
      352    0.004    0.000    0.058    0.000 backend_agg.py:183(draw_text)
     1302    0.004    0.000    0.008    0.000 font_manager.py:1007(make_rcparams_key)
     1044    0.004    0.000    0.005    0.000 stride_tricks.py:176(_broadcast_shape)
      136    0.004    0.000    0.006    0.000 controlflow.py:292(_find_dominators_internal)
    19701    0.004    0.000    0.004    0.000 {method 'insert' of 'list' objects}
     2201    0.004    0.000    0.004    0.000 {numpy.core.multiarray.copyto}
4313/4311    0.004    0.000    0.005    0.000 pyparsing.py:349(__init__)
    10250    0.004    0.000    0.004    0.000 {numpy.core.umath.seterrobj}
     2128    0.004    0.000    0.018    0.000 transforms.py:15(visit_BasicBlock)
 2192/609    0.004    0.000    0.005    0.000 sre_parse.py:152(getwidth)
     6138    0.004    0.000    0.023    0.000 manager.py:24(lookup)
     1951    0.004    0.000    0.017    0.000 transforms.py:1858(transform_affine)
       40    0.004    0.000    0.018    0.000 castgraph.py:95(propagate)
  3843/28    0.004    0.000    0.177    0.006 pyparsing.py:3715(parseImpl)
      686    0.004    0.000    0.018    0.000 patches.py:128(_process_radius)
     2024    0.004    0.000    0.004    0.000 {matplotlib._path.affine_transform}
      159    0.004    0.000    0.480    0.003 backend_tkagg.py:336(motion_notify_event)
    34586    0.004    0.000    0.005    0.000 {method 'add' of 'set' objects}
      772    0.004    0.000    0.028    0.000 core.py:6709(concatenate)
     1714    0.004    0.000    0.006    0.000 lines.py:1383(set_dash_capstyle)
      448    0.004    0.000    0.028    0.000 core.py:2102(masked_inside)
7084/6189    0.004    0.000    0.007    0.000 transforms.py:2438(_get_is_affine)
       21    0.004    0.000    0.004    0.000 {method 'dot' of 'numpy.ndarray' objects}
     1105    0.004    0.000    0.010    0.000 instructions.py:318(descr)
     6011    0.004    0.000    0.026    0.000 {method 'any' of 'numpy.ndarray' objects}
      855    0.004    0.000    0.006    0.000 artist.py:979(update_from)
     4664    0.004    0.000    0.017    0.000 numeric.py:2862(__exit__)
4804/4788    0.004    0.000    0.008    0.000 values.py:127(_get_reference)
        4    0.004    0.001    0.004    0.001 {method 'read' of 'file' objects}
     1714    0.004    0.000    0.019    0.000 lines.py:1166(set_markerfacecolor)
     7155    0.004    0.000    0.007    0.000 removerefctpass.py:19(visit_Call)
    25627    0.004    0.000    0.004    0.000 {iter}
     4865    0.004    0.000    0.015    0.000 colors.py:98(_is_nth_color)
    25515    0.004    0.000    0.004    0.000 values.py:220(_get_name)
      533    0.004    0.000    0.049    0.000 __init__.py:378(process)
    36987    0.004    0.000    0.004    0.000 abstract.py:88(key)
   483/44    0.004    0.000    0.168    0.004 pyparsing.py:3525(parseImpl)
    29081    0.004    0.000    0.004    0.000 builder.py:93(block)
     2300    0.004    0.000    0.012    0.000 values.py:718(__init__)
    19809    0.004    0.000    0.004    0.000 {min}
      448    0.004    0.000    0.752    0.002 text.py:898(get_window_extent)
     4309    0.004    0.000    0.012    0.000 artist.py:184(convert_xunits)
     9434    0.004    0.000    0.013    0.000 threading.py:215(__exit__)
      407    0.004    0.000    0.004    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
     4664    0.004    0.000    0.004    0.000 numeric.py:2853(__init__)
     4044    0.004    0.000    0.005    0.000 values.py:164(__eq__)
      905    0.004    0.000    0.181    0.000 transforms.py:1540(transform_path_non_affine)
     1315    0.004    0.000    0.025    0.000 path.py:105(__init__)
     2300    0.004    0.000    0.006    0.000 builder.py:246(_set_terminator)
       41    0.003    0.000    0.055    0.001 ticker.py:1900(_raw_ticks)
      227    0.003    0.000    0.008    0.000 Tkinter.py:1187(nametowidget)
        4    0.003    0.001    0.003    0.001 {_ctypes.dlopen}
     5639    0.003    0.000    0.005    0.000 six.py:601(itervalues)
    240/2    0.003    0.000   30.199   15.099 Tkinter.py:1536(__call__)
     7218    0.003    0.000    0.101    0.000 instructions.py:137(descr)
     4136    0.003    0.000    0.019    0.000 values.py:173(__hash__)
        1    0.003    0.003    0.003    0.003 socket.py:45(<module>)
     7203    0.003    0.000    0.014    0.000 pythonapi.py:1212(_get_function)
     2613    0.003    0.000    0.004    0.000 artist.py:318(get_transform)
     1920    0.003    0.000    0.009    0.000 pyparsing.py:732(copy)
    10596    0.003    0.000    0.005    0.000 sre_parse.py:142(__getitem__)
     2388    0.003    0.000    0.022    0.000 __init__.py:584(is_numlike)
     6680    0.003    0.000    0.003    0.000 pyparsing.py:186(__init__)
  1606/47    0.003    0.000    0.188    0.004 pyparsing.py:3375(parseImpl)
    15478    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
       70    0.003    0.000    0.272    0.004 axis.py:966(_update_ticks)
     1204    0.003    0.000    0.005    0.000 font_manager.py:871(set_size)
      102    0.003    0.000    0.016    0.000 core.py:6608(power)
     4468    0.003    0.000    0.012    0.000 re.py:138(match)
      173    0.003    0.000    0.046    0.000 patches.py:493(draw)
      705    0.003    0.000    0.003    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
     1410    0.003    0.000    0.009    0.000 text.py:185(update)
        4    0.003    0.001    0.003    0.001 {gc.collect}
     2487    0.003    0.000    0.013    0.000 core.py:1418(getmaskarray)
     1108    0.003    0.000    0.219    0.000 transforms.py:1503(transform_point)
        1    0.003    0.003    0.097    0.097 __init__.py:101(<module>)
    18125    0.003    0.000    0.003    0.000 font_manager.py:1151(score_style)
        1    0.003    0.003    0.023    0.023 _subplots.py:1(<module>)
      532    0.003    0.000    0.003    0.000 {zip}
     1714    0.003    0.000    0.012    0.000 lines.py:1178(set_markerfacecoloralt)
     2496    0.003    0.000    0.005    0.000 text.py:1170(set_text)
     1194    0.003    0.000    0.035    0.000 transforms.py:2012(rotate_deg)
     1368    0.003    0.000    0.041    0.000 transforms.py:796(from_bounds)
        6    0.003    0.000    0.099    0.016 __init__.py:3(<module>)
    22620    0.003    0.000    0.003    0.000 font_manager.py:726(get_family)
6982/6130    0.003    0.000    0.004    0.000 transforms.py:2214(_get_is_affine)
     3115    0.003    0.000    0.010    0.000 artist.py:303(set_transform)
     1185    0.003    0.000    0.003    0.000 font_manager.py:853(set_stretch)
    10411    0.003    0.000    0.010    0.000 sre_parse.py:213(get)
      662    0.003    0.000    0.097    0.000 backend_agg.py:265(_get_agg_font)
    14101    0.003    0.000    0.003    0.000 collections.py:90(__iter__)
       38    0.003    0.000    0.576    0.015 lowering.py:206(lower_block)
      708    0.003    0.000    0.007    0.000 colors.py:142(_to_rgba_no_colorcycle)
  176/132    0.003    0.000    0.280    0.002 axis.py:780(reset_ticks)
      864    0.003    0.000    0.010    0.000 interpreter.py:244(store)
    19205    0.003    0.000    0.003    0.000 threading.py:64(_note)
      674    0.003    0.000    0.374    0.001 _base.py:2019(in_axes)
      180    0.003    0.000    0.005    0.000 templates.py:653(decorate)
      448    0.003    0.000    0.370    0.001 axis.py:267(draw)
     1066    0.003    0.000    0.003    0.000 {method 'round' of 'numpy.generic' objects}
     4510    0.003    0.000    0.009    0.000 artist.py:193(convert_yunits)
      552    0.003    0.000    0.003    0.000 text.py:63(get_rotation)
     1133    0.003    0.000    0.007    0.000 transforms.py:2733(__init__)
     6592    0.003    0.000    0.005    0.000 transforms.py:1737(_get_is_affine)
      636    0.003    0.000    0.012    0.000 text.py:865(get_prop_tup)
     1105    0.003    0.000    0.014    0.000 builder.py:446(_icmp)
    20500    0.003    0.000    0.003    0.000 {numpy.core.umath.geterrobj}
    29004    0.003    0.000    0.003    0.000 {method 'extend' of 'list' objects}
        5    0.003    0.001    0.006    0.001 lda.py:200(_calc_H_and_S)
     1105    0.003    0.000    0.010    0.000 instructions.py:306(__init__)
      408    0.003    0.000    0.045    0.000 __init__.py:208(__call__)
        1    0.003    0.003    0.059    0.059 _continuous_distns.py:5(<module>)
     1714    0.003    0.000    0.004    0.000 lines.py:1344(set_dash_joinstyle)
     9897    0.003    0.000    0.003    0.000 types.py:160(__eq__)
       26    0.003    0.000    0.015    0.001 __init__.py:937(_rc_params_in_file)
      283    0.003    0.000    0.020    0.000 core.py:7104(where)
     8081    0.003    0.000    0.009    0.000 pyparsing.py:1462(get)
    37651    0.003    0.000    0.003    0.000 {abs}
        1    0.003    0.003    0.005    0.005 __init__.py:180(<module>)
      788    0.003    0.000    0.003    0.000 {posix.stat}
     1714    0.003    0.000    0.004    0.000 lines.py:987(set_drawstyle)
     1141    0.003    0.000    0.013    0.000 builder.py:644(store)
     9888    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
